,eventDate,decimalLatitude,decimalLongitude,genus,species
0,2023-06-20,55.88103,10.63933,Anthus,Anthus pratensis
1,2023-06-21,57.52781,10.26156,Phoenicurus,Phoenicurus phoenicurus
2,2023-06-21,56.14275,10.07385,Cuculus,Cuculus canorus
3,2023-06-21,55.80197,8.59652,Sylvia,Sylvia atricapilla
4,2023-06-21,55.94803,11.91597,Circus,Circus aeruginosus
5,2021-06-06,55.70615,9.48173,Luscinia,Luscinia svecica
6,2021-06-06,55.93117,12.30022,Columba,Columba livia
7,2021-06-07,55.56015,12.23643,Hirundo,Hirundo rustica
8,2021-06-02,55.86917,12.41721,Sturnus,Sturnus vulgaris
9,2021-06-07,55.92918,9.20786,Sylvia,Sylvia atricapilla
10,2021-06-06,57.02886,8.94656,Porzana,Porzana porzana
11,2021-06-07,57.73722,10.60642,Pernis,Pernis apivorus
12,2021-06-07,54.96697,8.67417,Charadrius,Charadrius hiaticula
13,2021-06-07,55.78475,12.3232,Streptopelia,Streptopelia decaocto
14,2021-06-07,55.86239,10.56075,Sylvia,Sylvia borin
15,2021-06-07,55.92649,12.49926,Garrulus,Garrulus glandarius
16,2021-06-08,57.74509,10.63559,Larus,Larus marinus
17,2021-06-08,54.84486,11.11163,Anser,Anser anser
18,2021-06-08,55.20089,14.86805,Acrocephalus,Acrocephalus palustris
19,2021-06-08,55.81869,8.5726,Periparus,Periparus ater
20,2021-06-08,55.30511,11.8339,Pavo,Pavo cristatus
21,2021-06-08,55.33436,11.63505,Acrocephalus,Acrocephalus schoenobaenus
22,2021-05-30,55.81922,11.41032,Platalea,Platalea leucorodia
23,2021-06-08,56.12055,9.92391,Vanellus,Vanellus vanellus
24,2021-06-09,55.02311,14.91322,Mergus,Mergus serrator
25,2021-06-09,55.10546,8.68776,Emberiza,Emberiza calandra
26,2021-06-09,57.74509,10.63559,Linaria,Linaria cannabina
27,2021-06-09,54.95389,9.92648,Tadorna,Tadorna tadorna
28,2021-06-09,55.88504,12.38337,Troglodytes,Troglodytes troglodytes
29,2021-06-02,56.12654,9.70168,Ficedula,Ficedula hypoleuca
30,2021-05-14,57.14246,9.27636,Numenius,Numenius phaeopus
31,2021-06-10,55.63723,8.22159,Lanius,Lanius collurio
32,2021-06-10,57.74509,10.63559,Circus,Circus aeruginosus
33,2021-06-10,55.61274,12.34719,Coloeus,Coloeus monedula
34,2021-06-10,56.03909,12.12409,Phasianus,Phasianus colchicus
35,2021-06-10,56.84473,8.36,Pyrrhula,Pyrrhula pyrrhula
36,2021-06-10,56.31687,8.85429,Streptopelia,Streptopelia decaocto
37,2022-02-23,55.54442,12.23989,Pyrrhula,Pyrrhula pyrrhula
38,2022-02-23,55.82342,12.4463,Mergus,Mergus merganser
39,2022-02-23,54.92997,11.24213,Pyrrhula,Pyrrhula pyrrhula
40,2022-02-23,55.78106,12.44616,Bucephala,Bucephala clangula
41,2022-02-23,56.08548,10.18051,Chloris,Chloris chloris
42,2022-02-23,55.81508,9.10287,Grus,Grus grus
43,2022-02-20,55.63609,12.76364,Turdus,Turdus merula
44,2022-02-24,55.67551,12.09248,Haliaeetus,Haliaeetus albicilla
45,2022-02-24,57.22375,9.73849,Anser,Anser albifrons
46,2022-02-25,55.4991,12.20547,Anthus,Anthus pratensis
47,2022-02-25,57.22983,9.81076,Cygnus,Cygnus cygnus
48,2022-02-25,54.9645,9.36961,Dendrocopos,Dendrocopos major
49,2022-02-25,56.84456,9.82588,Spinus,Spinus spinus
