species,common_name,status,url
Anthus pratensis,Meadow pipit,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947986/Anthus_pratensis_paqcy1.png
Phoenicurus phoenicurus,White-breasted waterhen,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948037/Phoenicurus_phoenicurus_mifffi.png
Sylvia atricapilla,Eurasian blackcap,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Sylvia_atricapilla_pmgwld.png
Circus aeruginosus,Western marsh harrier,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948009/Circus_aeruginosus_kugucg.png
Columba livia,Rock dove,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947972/Columba_livia_xg7cyu.png
Hirundo rustica,Barn swallow,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948022/Hirundo_rustica_vn9djy.png
Sturnus vulgaris,Common starling,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948048/Sturnus_vulgaris_wexwfq.png
Porzana porzana,Porzana,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948042/Porzana_porzana_qn6efa.png
Pernis apivorus,European honey buzzard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948036/Pernis_apivorus_hktwgo.png
Charadrius hiaticula,Common ringed plover,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947970/Charadrius_hiaticula_y6fuxw.png
Streptopelia decaocto,Eurasian collared dove,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948047/Streptopelia_decaocto_ivuo37.png
Sylvia borin,Garden warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948048/Sylvia_borin_blmdcs.png
Larus marinus,Great black-backed gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948025/Larus_marinus_v6xdf3.png
Anser anser,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947974/Anser_anser_koxmwt.png
Acrocephalus palustris,Marsh warbler,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Acrocephalus_palustris_cro8ew.png
Periparus ater,Coal tit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948036/Periparus_ater_uye0ej.png
Pavo cristatus,Indian peafowl,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947986/Pavo_cristatus_tpnmrz.png
Acrocephalus schoenobaenus,Sedge warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Acrocephalus_schoenobaenus_owvgbz.png
Platalea leucorodia,Eurasian spoonbill,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948040/Platalea_leucorodia_e39foo.png
Vanellus vanellus,Northern lapwing,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948052/Vanellus_vanellus_p8gaqh.png
Mergus serrator,Red-breasted merganser,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947984/Mergus_serrator_jdrtbq.png
Emberiza calandra,Corn bunting,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947974/Emberiza_calandra_luvn9d.png
Linaria cannabina,Common linnet,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947982/Linaria_cannabina_llhcez.png
Tadorna tadorna,Common shelduck,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948049/Tadorna_tadorna_michxt.png
Troglodytes troglodytes,Eurasian wren,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Troglodytes_troglodytes_mp7dyy.png
Ficedula hypoleuca,European pied flycatcher,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947976/Ficedula_hypoleuca_lwcrlm.png
Numenius phaeopus,Eurasian whimbrel,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947985/Numenius_phaeopus_rhmabr.png
Lanius collurio,Red-backed shrike,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948023/Lanius_collurio_s7ky56.png
Coloeus monedula,Western jackdaw,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948010/Coloeus_monedula_fntgys.png
Phasianus colchicus,Common pheasant,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947988/Phasianus_colchicus_mtvqkm.png
Pyrrhula pyrrhula,Eurasian bullfinch,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Pyrrhula_pyrrhula_vaccdq.png
Mergus merganser,Common merganser,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947983/Mergus_merganser_clptvn.png
Bucephala clangula,Common goldeneye,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947967/Bucephala_clangula_t79afi.png
Chloris chloris,European greenfinch,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947970/Chloris_chloris_si00fa.png
Grus grus,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948020/Grus_grus_tshb1q.png
Turdus merula,Common blackbird,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947997/Turdus_merula_ywycsl.png
Haliaeetus albicilla,White-tailed eagle,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948021/Haliaeetus_albicilla_otzm0k.png
Anser albifrons,Greater white-fronted goose,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947974/Anser_albifrons_rnaf1w.png
Cygnus cygnus,Swan,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cygnus_cygnus_nfvxgj.png
Spinus spinus,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Spinus_spinus_fpx4ti.png
Alauda arvensis,Eurasian skylark,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947963/Alauda_arvensis_idwool.png
Garrulus glandarius,Eurasian jay,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948019/Garrulus_glandarius_lsqold.png
Haematopus ostralegus,Eurasian oystercatcher,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948021/Haematopus_ostralegus_lgor2x.png
Turdus philomelos,Song thrush,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Turdus_philomelos_bqpzhm.png
Loxia curvirostra,Red crossbill,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Loxia_curvirostra_tnoqfi.png
Cygnus olor,Mute swan,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cygnus_olor_v1ggoz.png
Recurvirostra avosetta,Pied avocet,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Recurvirostra_avosetta_y6tutm.png
Phylloscopus collybita,Common chiffchaff,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948038/Phylloscopus_collybita_ynwroi.png
Larus argentatus,European herring gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948024/Larus_argentatus_iuxqso.png
Buteo buteo,Common buzzard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948002/Buteo_buteo_rhcc0g.png
Mareca penelope,Eurasian wigeon,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948028/Mareca_penelope_ncclni.png
Ardea cinerea,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947993/Ardea_cinerea_xrq7t4.png
