species,common_name,status,url,count
Anthus pratensis,Meadow pipit,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947986/Anthus_pratensis_paqcy1.png,204263
Phoenicurus phoenicurus,White-breasted waterhen,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948037/Phoenicurus_phoenicurus_mifffi.png,116730
Sylvia atricapilla,Eurasian blackcap,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Sylvia_atricapilla_pmgwld.png,227516
Circus aeruginosus,Western marsh harrier,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948009/Circus_aeruginosus_kugucg.png,325953
Columba livia,Rock dove,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947972/Columba_livia_xg7cyu.png,35271
Hirundo rustica,Barn swallow,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948022/Hirundo_rustica_vn9djy.png,332231
Sturnus vulgaris,Common starling,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948048/Sturnus_vulgaris_wexwfq.png,348348
Porzana porzana,Porzana,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948042/Porzana_porzana_qn6efa.png,3127
Pernis apivorus,European honey buzzard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948036/Pernis_apivorus_hktwgo.png,75212
Charadrius hiaticula,Common ringed plover,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947970/Charadrius_hiaticula_y6fuxw.png,155253
Streptopelia decaocto,Eurasian collared dove,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948047/Streptopelia_decaocto_ivuo37.png,109661
Sylvia borin,Garden warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948048/Sylvia_borin_blmdcs.png,88432
Larus marinus,Great black-backed gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948025/Larus_marinus_v6xdf3.png,210295
Anser anser,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947974/Anser_anser_koxmwt.png,649110
Acrocephalus palustris,Marsh warbler,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Acrocephalus_palustris_cro8ew.png,60444
Periparus ater,Coal tit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948036/Periparus_ater_uye0ej.png,100497
Pavo cristatus,Indian peafowl,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947986/Pavo_cristatus_tpnmrz.png,812
Acrocephalus schoenobaenus,Sedge warbler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Acrocephalus_schoenobaenus_owvgbz.png,44962
Platalea leucorodia,Eurasian spoonbill,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948040/Platalea_leucorodia_e39foo.png,43265
Vanellus vanellus,Northern lapwing,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948052/Vanellus_vanellus_p8gaqh.png,406078
Mergus serrator,Red-breasted merganser,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947984/Mergus_serrator_jdrtbq.png,183117
Emberiza calandra,Corn bunting,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947974/Emberiza_calandra_luvn9d.png,66363
Linaria cannabina,Common linnet,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947982/Linaria_cannabina_llhcez.png,176464
Tadorna tadorna,Common shelduck,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948049/Tadorna_tadorna_michxt.png,297216
Troglodytes troglodytes,Eurasian wren,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Troglodytes_troglodytes_mp7dyy.png,368899
Ficedula hypoleuca,European pied flycatcher,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947976/Ficedula_hypoleuca_lwcrlm.png,28586
Numenius phaeopus,Eurasian whimbrel,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947985/Numenius_phaeopus_rhmabr.png,39512
Lanius collurio,Red-backed shrike,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948023/Lanius_collurio_s7ky56.png,69402
Coloeus monedula,Western jackdaw,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948010/Coloeus_monedula_fntgys.png,257424
Phasianus colchicus,Common pheasant,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947988/Phasianus_colchicus_mtvqkm.png,154396
Pyrrhula pyrrhula,Eurasian bullfinch,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Pyrrhula_pyrrhula_vaccdq.png,203303
Mergus merganser,Common merganser,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947983/Mergus_merganser_clptvn.png,189193
Bucephala clangula,Common goldeneye,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947967/Bucephala_clangula_t79afi.png,253696
Chloris chloris,European greenfinch,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947970/Chloris_chloris_si00fa.png,283964
Grus grus,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948020/Grus_grus_tshb1q.png,175607
Turdus merula,Common blackbird,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947997/Turdus_merula_ywycsl.png,531240
Haliaeetus albicilla,White-tailed eagle,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948021/Haliaeetus_albicilla_otzm0k.png,327913
Anser albifrons,Greater white-fronted goose,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947974/Anser_albifrons_rnaf1w.png,101557
Cygnus cygnus,Swan,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cygnus_cygnus_nfvxgj.png,279389
Spinus spinus,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Spinus_spinus_fpx4ti.png,165831
Alauda arvensis,Eurasian skylark,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947963/Alauda_arvensis_idwool.png,285712
Garrulus glandarius,Eurasian jay,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948019/Garrulus_glandarius_lsqold.png,187922
Haematopus ostralegus,Eurasian oystercatcher,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948021/Haematopus_ostralegus_lgor2x.png,291415
Turdus philomelos,Song thrush,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Turdus_philomelos_bqpzhm.png,176853
Loxia curvirostra,Red crossbill,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Loxia_curvirostra_tnoqfi.png,83105
Cygnus olor,Mute swan,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cygnus_olor_v1ggoz.png,524538
Recurvirostra avosetta,Pied avocet,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Recurvirostra_avosetta_y6tutm.png,96890
Phylloscopus collybita,Common chiffchaff,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948038/Phylloscopus_collybita_ynwroi.png,386182
Larus argentatus,European herring gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948024/Larus_argentatus_iuxqso.png,352729
Buteo buteo,Common buzzard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948002/Buteo_buteo_rhcc0g.png,704021
Mareca penelope,Eurasian wigeon,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948028/Mareca_penelope_ncclni.png,296676
Ardea cinerea,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947993/Ardea_cinerea_xrq7t4.png,495804
Fulica atra,Eurasian coot,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948019/Fulica_atra_cowuw9.png,338959
Gavia stellata,Red-throated loon,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948020/Gavia_stellata_fanhkh.png,104361
Pica pica,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948040/Pica_pica_e4qjwl.png,271460
Anas platyrhynchos,Mallard,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947972/Anas_platyrhynchos_nzwedi.png,587719
Morus bassanus,Northern gannet,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Morus_bassanus_xzgta4.png,104638
Larus canus,Common gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948025/Larus_canus_l9r5is.png,257730
Sylvia curruca,Lesser whitethroat,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Sylvia_curruca_p32par.png,125909
Calidris alpina,Dunlin,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948002/Calidris_alpina_yt8odn.png,194010
Columba palumbus,Common wood pigeon,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948010/Columba_palumbus_sguikp.png,549339
Melanitta nigra,Common scoter,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948029/Melanitta_nigra_w6yusw.png,139687
Mareca strepera,Gadwall,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948029/Mareca_strepera_ivzwcs.png,185461
