species,common_name,status,count,url
Anthus pratensis,Meadow pipit,Migrating,204263,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208576/Anthus_pratensis_zecu4x.png
Phoenicurus phoenicurus,White-breasted waterhen,Common,116730,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208876/Phoenicurus_phoenicurus_k1bv59.png
Sylvia atricapilla,Eurasian blackcap,Common,227516,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208933/Sylvia_atricapilla_uibmvq.png
Circus aeruginosus,Western marsh harrier,Migrating,325953,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208701/Circus_aeruginosus_i18kxp.png
Columba livia,Rock dove,Common,35271,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208706/Columba_livia_bzli6o.png
Hirundo rustica,Barn swallow,Migrating,332231,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208776/Hirundo_rustica_tujk59.png
Sturnus vulgaris,Common starling,Exotic,348348,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208932/Sturnus_vulgaris_s4tmqa.png
Porzana porzana,Porzana,Common,3127,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208898/Porzana_porzana_ajriwk.png
Pernis apivorus,European honey buzzard,Common,75212,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208869/Pernis_apivorus_gfdu0z.png
Charadrius hiaticula,Common ringed plover,Common,155253,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208688/Charadrius_hiaticula_ofodtx.png
Streptopelia decaocto,Eurasian collared dove,Exotic,109661,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208928/Streptopelia_decaocto_wlqwfk.png
Sylvia borin,Garden warbler,Migrating,88432,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208935/Sylvia_borin_s0exke.png
Larus marinus,Great black-backed gull,Common,210295,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208794/Larus_marinus_wsur63.png
Anser anser,Unknown,Unknown,649110,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208533/Anser_anser_tuofyk.png
Acrocephalus palustris,Marsh warbler,Extinct,60444,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208506/Acrocephalus_palustris_khjwt1.png
Periparus ater,Coal tit,Common,100497,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208868/Periparus_ater_f5aia9.png
Pavo cristatus,Indian peafowl,Exotic,812,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208864/Pavo_cristatus_nfgzb9.png
Acrocephalus schoenobaenus,Sedge warbler,Migrating,44962,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208507/Acrocephalus_schoenobaenus_mdffb6.png
Platalea leucorodia,Eurasian spoonbill,Migrating,43265,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208889/Platalea_leucorodia_lcrfno.png
Vanellus vanellus,Northern lapwing,Common,406078,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208961/Vanellus_vanellus_p54pgi.png
Mergus serrator,Red-breasted merganser,Endangered,183117,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208838/Mergus_serrator_jhc9nj.png
Emberiza calandra,Corn bunting,Common,66363,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208730/Emberiza_calandra_wuwouq.png
Linaria cannabina,Common linnet,Common,176464,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208813/Linaria_cannabina_tgpzzg.png
Tadorna tadorna,Common shelduck,Extinct,297216,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208941/Tadorna_tadorna_xyhls2.png
Troglodytes troglodytes,Eurasian wren,Migrating,368899,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208950/Troglodytes_troglodytes_cya5x4.png
Ficedula hypoleuca,European pied flycatcher,Migrating,28586,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208750/Ficedula_hypoleuca_igy4ym.png
Numenius phaeopus,Eurasian whimbrel,Common,39512,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208849/Numenius_phaeopus_xyjliu.png
Lanius collurio,Red-backed shrike,Migrating,69402,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208784/Lanius_collurio_m14dtv.png
Coloeus monedula,Western jackdaw,Common,257424,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208706/Coloeus_monedula_pxuxau.png
Phasianus colchicus,Common pheasant,Exotic,154396,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208874/Phasianus_colchicus_ptynts.png
Pyrrhula pyrrhula,Eurasian bullfinch,Common,203303,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208906/Pyrrhula_pyrrhula_ftzbbi.png
Mergus merganser,Common merganser,Common,189193,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208837/Mergus_merganser_nf4bx6.png
