species,common_name,status
Anthus pratensis,Meadow pipit,Migrating
Phoenicurus phoenicurus,White-breasted waterhen,Common
Sylvia atricapilla,Eurasian blackcap,Common
Circus aeruginosus,Western marsh harrier,Migrating
Columba livia,Rock dove,Common
Hirundo rustica,Barn swallow,Migrating
Sturnus vulgaris,Common starling,Exotic
Porzana porzana,Porzana,Common
Pernis apivorus,European honey buzzard,Common
Charadrius hiaticula,Common ringed plover,Common
Streptopelia decaocto,Eurasian collared dove,Exotic
Sylvia borin,Garden warbler,Migrating
Larus marinus,Great black-backed gull,Common
Anser anser,Unknown,Unknown
Acrocephalus palustris,Marsh warbler,Extinct
Periparus ater,Coal tit,Common
Pavo cristatus,Indian peafowl,Exotic
Acrocephalus schoenobaenus,Sedge warbler,Migrating
Platalea leucorodia,Eurasian spoonbill,Migrating
Vanellus vanellus,Northern lapwing,Common
Mergus serrator,Red-breasted merganser,Endangered
Emberiza calandra,Corn bunting,Common
Linaria cannabina,Common linnet,Common
Tadorna tadorna,Common shelduck,Extinct
Troglodytes troglodytes,Eurasian wren,Migrating
Ficedula hypoleuca,European pied flycatcher,Migrating
Numenius phaeopus,Eurasian whimbrel,Common
Lanius collurio,Red-backed shrike,Migrating
Coloeus monedula,Western jackdaw,Common
Phasianus colchicus,Common pheasant,Exotic
Pyrrhula pyrrhula,Eurasian bullfinch,Common
Mergus merganser,Common merganser,Common
Bucephala clangula,Common goldeneye,Common
Chloris chloris,European greenfinch,Exotic
Grus grus,Unknown,Unknown
Turdus merula,Common blackbird,Exotic
Haliaeetus albicilla,White-tailed eagle,Extinct
Anser albifrons,Greater white-fronted goose,Migrating
Cygnus cygnus,Swan,Extinct
Spinus spinus,Unknown,Unknown
Alauda arvensis,Eurasian skylark,Exotic
Garrulus glandarius,Eurasian jay,Common
Haematopus ostralegus,Eurasian oystercatcher,Common
Turdus philomelos,Song thrush,Endangered
Loxia curvirostra,Red crossbill,Common
Cygnus olor,Mute swan,Exotic
Recurvirostra avosetta,Pied avocet,Migrating
Phylloscopus collybita,Common chiffchaff,Extinct
Larus argentatus,European herring gull,Common
Buteo buteo,Common buzzard,Common
Mareca penelope,Eurasian wigeon,Common
Ardea cinerea,Unknown,Unknown
Fulica atra,Eurasian coot,Common
Gavia stellata,Red-throated loon,Migrating
Pica pica,Unknown,Unknown
Anas platyrhynchos,Mallard,Extinct
Morus bassanus,Northern gannet,Migrating
Larus canus,Common gull,Common
Sylvia curruca,Lesser whitethroat,Migrating
Calidris alpina,Dunlin,Common
Columba palumbus,Common wood pigeon,Common
Melanitta nigra,Common scoter,Common
Mareca strepera,Gadwall,Common
Strix aluco,Tawny owl,Migrating
Tyto alba,Western barn owl,Endangered
Motacilla flava,Western yellow wagtail,Migrating
Falco tinnunculus,Common kestrel,Common
Apus apus,Common swift,Endangered
Emberiza schoeniclus,Common reed bunting,Common
Certhia brachydactyla,Short-toed treecreeper,Common
Poecile palustris,Marsh tit,Common
Aegithalos caudatus,Long-tailed tit,Common
Coccothraustes coccothraustes,Hawfinch,Common
Tringa totanus,Common redshank,Common
Numenius arquata,Eurasian curlew,Common
Ardea alba,Great egret,Common
Calidris alba,Sanderling,Migrating
Sylvia communis,Common whitethroat,Migrating
Accipiter nisus,Eurasian sparrowhawk,Common
Mergellus albellus,Smew,Common
Cyanistes caeruleus,Eurasian blue tit,Migrating
Phalacrocorax carbo,Great cormorant,Common
Somateria mollissima,Common eider,Common
Falco columbarius,Merlin (bird),Migrating
Motacilla alba,White wagtail,Migrating
Pluvialis squatarola,Grey plover,Common
Anas crecca,Eurasian teal,Migrating
Branta canadensis,Canada goose,Exotic
Phalaropus lobatus,Red-necked phalarope,Migrating
Aythya ferina,Common pochard,Common
Milvus milvus,Unknown,Unknown
Sternula albifrons,Little tern,Common
Thalasseus sandvicensis,Sandwich tern,Common
Sterna hirundo,Common tern,Endangered
